t,group,first_shot_rate,immun_gain,immun_loss,rel_inf_prob_mult,pS_mult,hosp_mult,dnh_mult,dh_mult
93,20-39,0,0,0,1,1,1,1,1
93,40-64,0,0,0,1,1,1,1,1
93,65+,0,0,0,1,1,1,1,1
94,0-19,0,0,0,1,1,1,1,1
94,20-39,0,0,0,1,1,1,1,1
94,40-64,0,0,0,1,1,1,1,1
94,65+,0,0,0,1,1,1,1,1
95,0-19,0,0,0,1,1,1,1,1
95,20-39,0,0,0,1,1,1,1,1
95,40-64,0,0,0,1,1,1,1,1
95,65+,0,0,0,1,1,1,1,1
96,0-19,0,0,0,1,1,1,1,1
96,20-39,0,0,0,1,1,1,1,1
96,40-64,0,0,0,1,1,1,1,1
96,65+,0,0,0,1,1,1,1,1
97,0-19,0,0,0,1,1,1,1,1
97,20-39,0,0,0,1,1,1,1,1
97,40-64,0,0,0,1,1,1,1,1
97,65+,0,0,0,1,1,1,1,1
98,0-19,0,0,0,1,1,1,1,1
98,20-39,0,0,0,1,1,1,1,1
98,40-64,0,0,0,1,1,1,1,1
98,65+,0,0,0,1,1,1,1,1
99,0-19,0,0,0,1,1,1,1,1
99,20-39,0,0,0,1,1,1,1,1
99,40-64,0,0,0,1,1,1,1,1
99,65+,0,0,0,1,1,1,1,1
100,0-19,0,0,0,1,1,1,1,1
100,20-39,0,0,0,1,1,1,1,1
100,40-64,0,0,0,1,1,1,1,1
100,65+,0,0,0,1,1,1,1,1
101,0-19,0,0,0,1,1,1,1,1
101,20-39,0,0,0,1,1,1,1,1
101,40-64,0,0,0,1,1,1,1,1
101,65+,0,0,0,1,1,1,1,1
102,0-19,0,0,0,1,1,1,1,1
102,20-39,0,0,0,1,1,1,1,1
102,40-64,0,0,0,1,1,1,1,1
102,65+,0,0,0,1,1,1,1,1
103,0-19,0,0,0,1,1,1,1,1
103,20-39,0,0,0,1,1,1,1,1
103,40-64,0,0,0,1,1,1,1,1
103,65+,0,0,0,1,1,1,1,1
104,0-19,0,0,0,1,1,1,1,1
104,20-39,0,0,0,1,1,1,1,1
104,40-64,0,0,0,1,1,1,1,1
104,65+,0,0,0,1,1,1,1,1
105,0-19,0,0,0,1,1,1,1,1
105,20-39,0,0,0,1,1,1,1,1
105,40-64,0,0,0,1,1,1,1,1
105,65+,0,0,0,1,1,1,1,1
106,0-19,0,0,0,1,1,1,1,1
106,20-39,0,0,0,1,1,1,1,1
106,40-64,0,0,0,1,1,1,1,1
106,65+,0,0,0,1,1,1,1,1
107,0-19,0,0,0,1,1,1,1,1
107,20-39,0,0,0,1,1,1,1,1
107,40-64,0,0,0,1,1,1,1,1
107,65+,0,0,0,1,1,1,1,1
108,0-19,0,0,0,1,1,1,1,1
108,20-39,0,0,0,1,1,1,1,1
108,40-64,0,0,0,1,1,1,1,1
108,65+,0,0,0,1,1,1,1,1
109,0-19,0,0,0,1,1,1,1,1
109,20-39,0,0,0,1,1,1,1,1
109,40-64,0,0,0,1,1,1,1,1
109,65+,0,0,0,1,1,1,1,1
110,0-19,0,0,0,1,1,1,1,1
110,20-39,0,0,0,1,1,1,1,1
110,40-64,0,0,0,1,1,1,1,1
110,65+,0,0,0,1,1,1,1,1
111,0-19,0,0,0,1,1,1,1,1
111,20-39,0,0,0,1,1,1,1,1
